Marci 0x1E ivós-társas;Mezõk;Feladat/szöveg 1;Eredmény(Balanszoláshoz);Feladat/szöveg 2;Eredmény(Balanszoláshoz);Feladat/szöveg 3;Eredmény(Balanszoláshoz);Feladat/szöveg 4;Eredmény(Balanszoláshoz)
1;START-Koppány utca 6c;Igyál egy welcome drinket!;Mindenkinek: 1 pia;Otthoni tojcis mafrin extra erõt ad! A következõ dobásod kétszerezõdik.;Rálépõnek:következõ dobás*2;;;;
2;Nefelejcs;Itt csak csupasz punci van. Dobj még egyszer, de azért igyál is egyet, hiszen még növésben vagy!;Rálépõnek:1 pia, Elõrelépni;;;;;;
3;Rákóczi;El akarod terjeszteni a suliban a kidobóst, ehhez elengedhetetlen tudnod a kidobós 5-ös szabályát. Ha nem tudod, 10 fekvõ, ha tudod, mindenki más magábaszívja a tudást és iszik egyet.;;Elkéstél a karate edzésrõl: a következõ dobásodból kettõt vonj le! ( a végeredmény lehet negatív);Rálépõnek:következõ dobásból -2;Ica néni megdícsért matekszakkörön. Jutalmad 1 pia.;Rálépõnek 1 pia;Számlát kértél a kétforintos cukorka után, amiért a NAV megjutalmaz: dobj újra!;Rálépõ: újra dob
4;Dénesbátenisz;Hiába köti be a szemét nem lát tõle jobban! De vajon ez Marcira is igaz? Kösse be a szemét és töltön! Ha mellécsorog, iszik. Ha van olyan jó mint Peter La Fleur, mindenki más iszik. ;Marcinak:iszik VAGY mindenki más;Nem húztad le a pályát edzés után, így le kell húznod egy felest!;Rálépõnek 1 pia;"""Van svungja a bakancsos kurvának!"", adja a jó tanácsot Dénesbá, mielõtt kiállsz Székely Kata ellen, aki csúnyán elver. Gyorsan szerválj magadnak egy piát kompenzációként!";;Annyi labdaérzéked van fiam, mint egy pöcsízû nyalókának! Hagyj fel a sporttal, menj inkább tanulni a telekibe! Lépj az 5-ös mezõre;
5;Teleki;Bealudtál Mihályi fizikaóráján és csak akkor eszmélsz, amikor téged szólít. Felelsz vagy mersz? Ha felelsz: felezd meg a következõ dobásod! Ha mersz: feles és mehetsz tovább zavartalanul!;Rálépõnek:következõ dobás/2  VAGY 1 pia;Egész éjszaka geoházit csináltál, majd másnap le se ellenõrizték. A hírtõl depressziós lettél: Egyet iszol és még ki is maradsz egy körbõl.;Rálépõnek:1 pia, 1 kör kimarad;Túl sokat készültél irodalom órára, pedig Trajer úgy is mindig háromnegyedet ad. Fáradtság miatt a következõ dobásodból vonj le 1-et.;Rálépõnek -1 köv dobásból;Pofándobtak kosárlasztival tesiórán és elhajlott a szemüveged. Következõ alkalommal hétbõl vondd le a dobásodat és annyit lépj.;Rálépõ: 7-dobást lép legközelebb
6;Aliga;Bekeveredtél egy cigánydiscoba! Lobogtasd meg a dollárjaid, hogy mindenki közelebb jöjjön (minden játékos erre a mezõre kerül);Mindenkinek:Idelépnek VAGY semmi;Vízibiciklid defektet kapott. Jó matróz iszik egyet a hosszú úszás elõtt!;Rálépõnek 1 pia;Jól megérdemelt pihenésként elmész pecázni a Balcsira. Egyél egy halászlevet! Ha nincs, kõ-papír-ollózz azzal, aki a legközelebb áll hozzád. Aki veszít, iszik. Ha döntetlen, mindketten isztok!;Csata:1 pia vesztesnek VAGY mindenkinek;Kurvabüdöset szartál a budiban. Az ezen a mezõn állók isznak, hogy elnyomja a szagot. A többiek pedig egy lépéssel távolabb lépnek tõled.;Rálépõ mögöttiek: 1-el hátra, Rálépõ utániak: 1-el elõre, azonos mezõn állók: 1 pia
7;Vadász/HB/Pince/Kaiser;Találsz egy mágikus laposüveget. A következõ három italt ebbe töltöd magad helyett, de vigyázz! Ha megtelik, a VÖR-DZSINN kiszáll belõle és megitatja veled mind! A flaska bármikor átadható egy új szomszédodnak!;Rálépõnek:1 laposüveg Vör-DZSINN;Megyek a Placsiba! A többiek meghívnak egy körre, és azt kell innod, amit õk választanak!;Rálépõnek:1 pia;HB-ba indultál, de otthon ébredtél. Nem tudod mi történt, másnapos se vagy. Helyezd a bábud a Koppány utcába! (1);Rálépõnek:Koppány utcába lépni;Meghúztad a HB-s pultos lányt (még amikor geci jó csaj volt), amitõl új erõre kapsz a városi afterbandázáshoz. Következõ dobásod duplát ér;Rálépõ: 2xdobás
8;Kisgyón;Fröccs Õrmester iszik!;Rálépõnek:Fröccs õrmester;Éjszakai túrán eltévedtél a csoporttal. Egy körbõl kimaradsz. Köszönd meg a Gicának!;Rálépõ: 1 körbõl kimarad;Elakadt a fûnyíró a kaszanyûg bükkönyben. Megkérsz valakit hogy javítsa meg. Õ egy körbõl kimarad és hidratál.;Választottnak:1 pia, 1 kör kimarad;;
9;Sárkánytûz FNM;A Balogh Andrissal döntõzöl. Dobj egyet! Ha páros, legyõzted és továbbmehetsz. Ha páratlan, anyu meglátta, hogy kártyázni mentél és elveszi a reanimator dekkedet. Menj vissza tanulni a Telekibe (5-ös mezõ)!;Rálépõnek:semmi VAGY Telekire lépni;Nagy rutinnal lecápázod a kezdõ játékost. A leghátrébb levõ ellenfeled iszik egyet.;Utolsó ellenfél:1 pia;Bontottál egy BOP-ot, hát bonts egy sört! Igyál egyet!;Rálépõ: 1 pia;;
10;West/Alba;Ezen a bulin lehetsz Somos*! Választhatsz egy Somos-t és cserélj vele helyet. (A mezõket a csere nem aktiválja);Rálépõnek:Helycsere;Westben kinyitott a bárpult! Minden haverodat meghívod egy piára.;Mindenki iszik 1 piát;Westbõl hazafelé megállít a rendõr, de igazolvány helyett csak a Drinking counter van nálad! Ha a játékosátlag alatt fogyasztottál, a rendõr hív meg felesre. Egyébként egy körbõl kimaradsz!;Rálépõ: Iszik vagy vezet;;
